0,1,dGsolv_avg
CCOC(CCC)=O,FCC(F)(C)C(F)(F)Cl,-4.36768533
Cc1cc(C)cc(C)c1,CC(C)CCCCCCCCCCC=O,-11.03899898
Ic1ccccc1,CCC(C)C(F)(F)C,-4.33412493
OCCCCO,C(CC1)CCN1SN2CCCCC2,-8.19287657
CCCCl,CSc1nccnc1C,-8.24866154
CCCCCCCCC,N#CP(C#N)C#N,-3.8990906
CCOP(OCC)(OCC)=O,FC(F)C(F)OC(Cl)Cl,-6.30910963
COP(OC)(OC)=O,FC(F)(F)C(F)C(C)(C(F)(F)F)C(F)(F)F,-3.4829572
O=N(c1ccccc1)=O,CCCc1cnccn1,-7.10329323
Cc1cccc(C)c1C,CCCOCC(O)C,-5.77118407
CCCCOC(C)=O,CCCCCCCCCOC=O,-8.48556908
CCc1ccccc1,Clc1ccc(Cl)cc1,-6.44589589
CC(OCc1ccccc1)=O,Cc1nccnc1C,-6.73335485
O(Cc2ccccc2)Cc1ccccc1,FCC(OC)C(F)(F)C,-4.34086693
OCCC,O=CCCCC=O,-6.69068573
CCCCOC(C)=O,CCC(CC)Nc(c(cc1C)N(=O)=O)c(c1C)N(=O)=O,-13.85753209
CCCCCCOC(C)=O,ClCC(F)(F)C(F)Cl,-5.0684886
CCOP(OCC)(OCC)=O,CC(OC2CC3C1CCCC1C2C3)=O,-8.55576636
OCCCCC,c(ccc1no2)cc1n2,-6.72252431
N#Cc1ccccc1,Cc1nc(C)c(C)nc1C,-7.9815222000000015
CCCCOC(=O)c1ccccc1C(OCCCC)=O,c(ccc1nc2ccccc2n3)cc31,-10.49777457
n1ccccc1,Cc1ccc(cc1)S(=O)(=O)NS(c(cc2)ccc2C)(=O)=O,-23.44659581
CC(C)(C)c1ccccc1,CCC#CC,-3.3048382000000007
N#CCCOCCC#N,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.00446786
O=N(c1ccccc1)=O,CC1=C(C)NC(S1)=S,-12.49632396
OCCCCCCCCC,O=C(c1cc2)NCc1cc2,-10.83956078
OCc1occc1,FC(F)(C)C(F)(F)Cl,-2.43530681
CCOC(C)=O,FC1CCCC1,-3.97938178
OCc1ccccc1,N#CCN1CCCCC1,-8.31577158
Cc1ccccc1,CCCCCCCCCC1CCCC1,-9.40637256
COC(CC#N)=O,FC(F)(C)C(F)(O)C,-6.1153586
CC(C)c(cc1)ccc1C,CCCCCCCCCCBr,-8.92242067
Cc1cccc(C)c1C,C2CN1CCCC1=NC2,-7.92890774
CC(OCc1ccccc1)=O,Oc1ccc(O)c(C)c1C,-12.20497941
O(c2ccccc2)c1ccccc1,FC(Br)=C,-2.52371342
CCCCN(CCCC)C=O,Cc1ccc(C=O)cc1,-7.60691681
CCCCCCCCBr,CCC(C)(C)C(CC)(C#N)C#N,-8.50382421
CCCCCCCC=C,FC(F)(F)C(F)(F)C(O)(C)C(F)(F)F,-3.64248112
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(F)(OC)C(F)(F)F,-2.76919981
OCCC(C)C,COC(F)(C(F)C)C(F)(F)C,-4.50645859
CCN(=O)=O,CC(OCC1CC=C(CC1)CCC=C(C)C)=O,-10.97108328
CCOP(OCC)(OCC)=O,COc1cc(OC)ccc1,-7.67486018
OCCCO,S,-2.17221585
CCOP(OCC)(OCC)=O,Clc1ccc(cc1)C(=O)NO,-13.36937903
OCCCO,FC(F)C(Cl)(Cl)C(F)F,-3.14687907
OCCCC,CC1C=C(C)CCC1C=O,-6.71005888
CCCCOC(C)=O,COc(cn1)sc1C,-7.51317027
CCCCCCCC(OC(COC(CCCCCCC)=O)COC(CCCCCCC)=O)=O,FC1CCCNC1,-4.79618189
CCCC(C)=O,CC=C1CCCCC1,-4.92420056
CCCCCCCCC,COC(C)(C)C(F)F,-3.41604005
FC(F)C(F)C(F)(F)F,COP(OC)(=O)OC(C)=CC(OC(C)c1ccccc1)=O,-16.58625796
CCCCOC(=O)c1ccccc1C(OCCCC)=O,CCOC(=O)C2(CCN(C)CC2)c1ccccc1,-11.4036464
CCNC=O,CCOc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-13.85264134
CCCCN(CCCC)C=O,Fc1ccccc1Cl,-5.70646386
Cc1cccc(C)c1C,CCC(Cl)(Cl)N(=O)=O,-5.69542965
CCOC(OCC)=O,CN(N(=O)=O)N(=O)=O,-6.45005212
CCC#N,OC(CCCN4CCC(CC4)C(O)(c2ccccc2)c1ccccc1)c3ccc(C(C)(C)C)cc3,-26.58312317
CCCCCl,CNS(c1ccccc1)(=O)=O,-11.34859562
CCN(=O)=O,CC(C)Cc1nccnc1OC,-7.59078758
Cc2c1ccccc1ccc2,c(cc1ccc3ccc4c5)cc6c1c3c4c2c6cccc2c5,-15.84660989
Clc1ccccc1Cl,Oc1cc(C#N)ccc1,-9.04932584
c2nc1ccccc1cc2,Cn1cccc1c2cccnc2,-10.67092547
CCCN(=O)=O,Brc1cc(C#N)ccc1,-8.92741891
CC(CC1)CS1(=O)=O,CCC(CC)=O,-4.51853949
CCOC(C)=O,COCCCC(F)(F)F,-4.52253913
OCCOCCCC,O=C(Oc2ccccc2)Oc1ccccc1,-11.30120431
CCC#N,CCN(c1ccccc1)C(=O)N(CC)c2ccccc2,-12.67146908
CCCBr,CC1(CCC=C(C)C)C2CC1CC=C2C,-9.20405872
Brc1ccccc1,OCCOCCN,-7.51455505
OCC1CCCO1,CCCCCCCCCC(=O)N,-12.69773088
OCCCCCCCCCC,COc1ccccc1CO,-9.09890423
NCc1ccccc1,CC(C)CCOCCc1ccccc1,-9.07080571
FCCCCCCCC,Cn1ccc(=O)n(C)c1=O,-9.06586974
OCCCCCCCC,Cc(nc1C)sc1C=C,-7.64670732
CC1OC(OC1)=O,CC(C)COC(C)=O,-4.93758879
Cc1cc(C)cc(C)c1,FC(F)(F)C(N)(C)C,-3.52678382
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,S=C1NC=CC=C1,-9.97820137
Cc1cc(C)ccc1,CCCCCCCCCCCCCC(OC)=O,-12.02131932
CN(C)C(C)=O,Nc(cnc1c2N)nc1ncn2,-20.38918153
O=CN1CCOCC1,SCc1sccc1,-7.98005711
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1CC=CC2=CC(=O)C(CC21C)=C(C)C,-7.20821667
COC(CC#N)=O,COc1ccccc1N,-8.38619889
COC(C)(C)C,CC1CC(C)=CCC1C=O,-7.66827664
Cc1ccc(C)cc1,C=Cc1ccccc1,-5.92971465
CCCCl,N#Cc1ccnnc1,-8.91169639
O=Cc1occc1,Cc(ccc1Cl)cc1N,-8.5719162
OCC1CCCO1,Fc1ccc(cc1)C(=O)NO,-11.5805689
OCCCCCCC,CC1(C)C=C(C)C(CC1)C(=O)C=CC,-9.42097378
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,O=S(c2ccccc2)(=O)NS(c1ccccc1)(=O)=O,-18.10678824
OCCCCCCC,Nc2nc1[nH]cnc1c(N)n2,-15.40686011
FCCCCCCCC,COC(OC)C(C)(C)CC=C(C)C,-7.22346995
CCCCN(CCCC)C=O,CCN(CC)S(=O)(=O)N(CC)CC,-9.83933652
OCCCCCCCCC,NCCCCCCCCCC,-9.34632745
CCCCCCOC(C)=O,COc1ccccc1S,-8.32029001
CCCC(C)=O,c(ccc1cc2sc3)cc1cc2c3,-11.03383015
CCCCCCCl,Clc(ncc1C)nc1Cl,-8.44355352
FC(F)C(F)C(F)(F)F,CN(C)C(=C2C)C(=O)N(c1ccccc1)N2C,-14.44487389
CCOC(=O)c1ccccc1,CCCCCCc2c1ccccc1ccc2,-11.12223089
Cc1cc(C)cc(C)c1,COc1ccc(C=C)cc1OC,-9.08831589
CCCCCCCCC,NC1CCCCCCC1,-6.50513183
CC(C)(C)CC(C)=C,N#N=NC(c1ccccc1)=O,-6.82751683
OCCc1ccccc1,Cc2nc1c(cccc1N)cc2,-9.82231385
CCOC(=O)c1ccccc1,OC(=O)C(=O)Nc1ccccc1,-10.52016416
Cc1ccc(C)cc1,NC1=NNC2=CC=C(C=C12)C1=CC=CC=C1,-14.12769713
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,OCC(C)(C)Cc(ccc1)cc1C,-9.30576541
CCN(CC)C(C)=O,Nc2c1ncnc1n(C)cn2,-14.90431944
CC(C)(C)CC(C)=C,c(ccc51)cc1c(cccc3c2ccccc62)c3c4c5cccc64,-17.29975009
CCCCCCCCBr,C(CCC1OCCc2ccccc2)C1,-9.72339574
O=CN1CCOCC1,CCCCN(C)C,-3.24889851
OCCC#N,ClCc(ccc1)cc1Cl,-6.78676969
CCOP(OCC)(OCC)=O,Cc1cccc(Cl)c1C,-6.71260755
CCCCOC(=O)c1ccccc1C(OCCCC)=O,CC(C)(N1CCCCC1)C#N,-8.31697184
CC(C)c(cc1)ccc1C,CC1CCC2C1(CCC3(C)OC(C)=O)CC3C2(C)C,-11.38700738
CCCCCCCCCCCCCCCC,COc1nc(OC)nc(OC)n1,-8.06515282
Cc1ccccc1N(=O)=O,CCCCCCCCCCCCCCCc1ccccc1,-13.60957201
OCCCCCCC,CCC1C=CCCC1,-4.9072491
OCC1CCCO1,OCCc1c[nH]c2c1cccc2,-14.01471131
NCc1ccccc1,NC1=NC(=O)C2=C(N1)C(CC1=CN=CC=C1)=CN2,-30.26773615
Cc1ccccc1N(=O)=O,COC(C(O)(C)C)=O,-5.91139721
CCCCCCCCCCC,CC1CCc2c1cccc2,-6.49547404
COC(CC#N)=O,OCCCC(F)(F)F,-5.88777225
OCC1CCCO1,c(ccc1c2ccccc2s3)cc31,-10.33108627
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,COc1nccnc1C(C)C,-6.87198296
OCCc1ccccc1,Cc1ccc(cc1)S(=O)(=O)NS(C(F)(F)F)(=O)=O,-14.27189127
CCOC(C)(C)C,FCCCNC,-4.47415212
Oc1cc(C)ccc1,Cn2c1ccccc1nn2,-12.40849076
Oc1cc(C)ccc1,COc(cnc1)nc1C,-9.39291508
CN1CCCC1,Cc1n[nH]c(C)c1Cl,-10.48454509
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,O=C(Oc2ccccc2)c1ccccc1,-10.44389644
Brc1ccccc1,FCC(=O)NC,-5.55886064
Clc1ccccc1,Clc(ccc1O)cc1N,-9.31414746
N#CCc1ccccc1,FCC(C)CC(C)C,-4.43816886
COC(CC#N)=O,ClC1=CC=CC(=C1)C(N1C=CN=C1)C1=CC=C2N=CNC2=C1,-22.00871256
CC(CC1)CS1(=O)=O,CCOCc(ccc1O)cc1OC,-10.0797943
CCCCCCCCC,C3C4CN(CC3CN(C4)Cc2ccccc2)Cc1ccccc1,-14.59489789
Cc1ccccc1N(=O)=O,O=N(=O)c3cc(ccc3)N=C(c1ccccc1)Nc2ccccc2,-19.44083385
CCCCCCCl,CC=C2CC1C=CC2C1,-5.72154342
OCCOCCOCCCC,Nc(ccc1N)cc1N,-10.51613612
C(CCc1cc2)Cc1cc2,COCCOCCOCCOCCOCCOCCOCCOCCOC,-21.29056329
OCCCCCCCCCC,COC(OC)CC(C)CCCC(O)(C)C,-11.28423885
CCCCCC#N,OC(=O)c(cc1)ccc1N,-13.45387008
CCC#N,Fc1c(F)c(F)c(F)c(F)c1F,-2.94103316
CCOP(OCC)(OCC)=O,O=C1CCC=CCCCCCCCCCC1,-11.20085902
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,Cc1ccccc1S(O)(=O)=O,-12.78956628
CCCCCCCCBr,NNc2c1ccccc1ccc2,-10.21763381
Cc1ccccc1,c(cnc2c1ncccc1c3)cc2c3,-12.76160131
CCCCOC(C)=O,CCCN=C(NC)NC#N,-11.27576847
CCCCC(CC)COC(=O)c1ccccc1C(OCC(CC)CCCC)=O,c(cc1)ccc1c3oc2ccccc2n3,-10.45746436
CC(=O)c1ccccc1,Cc(nc1cc2)[nH]c1cc2,-11.8510319
N#CCCOCCC#N,CCC(C)CCC=C(C)C,-3.51466914
CCCCC#N,Cc2cc1CCCc1cc2,-6.62345692
N#Cc1ccccc1,CCCCC(CC)C(OCC(COC(C(CC)CCCC)=O)(COC(C(CC)CCCC)=O)COC(C(CC)CCCC)=O)=O,-22.33570691
OCCCCCCC,OC(CCC(=O)c2ccc(cc2)c1ccccc1)=O,-17.39114506
OCCC#N,CCS(C(C)(C)C)(=O)=O,-9.57895462
Cc1cc(C)cc(C)c1,OCC#CCO,-5.80568804
CC(C)c(cc1)ccc1C,ClCC(C)(C)C,-4.27789912
CCCN(=O)=O,CCCC(F)C(F)(F)N,-6.23116692
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Sc1ccccc1,-4.36668471
OCCCCCCCCC,OC(C1CCN1)=O,-8.62987455
CCCCOC(C)=O,CC2=COc1ccccc1C2=O,-9.650144699999998
CC(OCc1ccccc1)=O,FC=CC(C)=O,-4.6482859
CC(C)CC(C)=O,COC(=O)c(cc1)ccc1C(O)=O,-12.82408342
CCCCC(C)=O,CCCCCCCC=CC(O)=O,-11.18925165
CCN(CC)C(C)=O,CN(C)C(C)C(O)c1ccccc1,-9.72021472
CCN(=O)=O,COc1ccccc1C,-6.332649099999999
OCCC#N,FCC(C)CN,-6.59413349
CC(C)N(=O)=O,CN(C)c1ccc(cc1)N=CN(C)C,-12.4309574
CC(C)CC(C)=O,CCC1CCC(CC)CC1,-5.76811044
OCCCCCCCCCC,ClCC(O)=O,-7.71471293
Oc1cc(C)ccc1,O=C2C=Cc1ccccc1C=C2,-14.70091488
O=N(c1ccccc1)=O,COC(CC)=O,-4.54538627
OCCCCCCCCCCCC,OC(=O)c1ccccc1I,-11.57147645
CCN1CCCC1=O,C(CC2)CCN2c1ccccc1,-9.16788829
CCCCN(CCCC)C=O,Brc2cc(C1=NCCC1)cnc2,-10.79290812
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,CC(OC1=S)=C(C)N1C,-9.60233108
CC(C)c(cc1)ccc1C,CCC(C)OC=O,-4.61719816
CCOC(OCC)=O,Brc2cc(C1=NCCC1)cnc2,-10.9121584
CCNC(C)=O,CC1=C(C)CCC1,-3.65648239
Cc1ccccc1N(=O)=O,COCOC(F)(F)C,-4.20675307
OCCCCCCCCC,NC1CCC1,-5.32354276
OCCC(C)C,CCCCCCCCCC(C)CC#N,-10.25985862
N#CCc1ccccc1,O=N(=O)c1oc(cc1)C=CC=NNC(=O)N,-18.79247146
CCCCOC(C)=O,c(nc2)ccc2c1ccccn1,-10.60743567
OCCCCCCCCC,CC(C)=CCCC(C)=CCCC=O,-8.87529206
CCCCN(CCCC)C=O,CC(C)C(OCC=C(C)C)=O,-6.78346176
CCCCC#N,CCCCC(O)CCC,-7.2800977
OCCC#N,OC(CCC=C)=O,-7.7783731
CCCCCCCCCCCC,S(Cc2occc2)Cc1occc1,-8.69046714
OCC(C)C,N1C=CC(=N1)C1=CC(=NO1)C1=CC=CC=C1,-16.69090367
CCCCN(CCCC)C=O,CC2(C)CC1C=C(C)C(C)CC1OC2,-8.61418249
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,CC(C)C(CC2)C1C=C(C)CCC1C2(O)C,-11.02218341
CCCCCC(C)=O,CC(=O)C1=NCCCC1,-7.01980049
CCCCN(CCCC)C=O,CCCCCNC(OC)=O,-8.44717026
CCOP(OCC)(OCC)=O,FCCC(C)C(F)(F)F,-3.95028961
CCCCCC#N,CCNc(n1)nc(NC(C)C)nc1OC,-12.86591927
CCN(=O)=O,CCCCc(cc1)ccc1N,-9.21990542
OCCOCCCC,Cc2cc1c(cc2)occ1C,-7.25127395
CCCCN(CCCC)C=O,OC(=O)c1c(O)cc(O)cc1O,-19.82870931
OCCCCCCCCCCCC,OCC(O)C(O)C,-8.96130207
CCCCC#N,CCCCc(cc1)ccc1O,-10.82648871
CCN(=O)=O,c(cn1)ccc1c2ccccn2,-9.48078999
CCCCCCCCCC,CCCCCCCc1occc1,-7.53391179
CCOP(OCC)(OCC)=O,FC1(CC3C2)CC(C3)CC2C1,-6.27809401
CCNC=O,Clc1sccc1,-5.36507899
OCCC#N,CCOc1sccn1,-6.42878091
CCCN(=O)=O,CC1(C)CO[PH](OC1)=O,-11.51344375
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)c1sccn1,-4.41004627
OCCOCCOCCOCCCC,S1CSSSCS1,-9.80875866
CCOP(OCC)(OCC)=O,c(ccc2c4sc3c1ccccc1ccc3[nH]5)cc2ccc54,-20.99934151
CCCCCCOC(C)=O,Fc2c(F)c(c(F)c1F)c(c(F)c2F)c(O)c1F,-9.90465934
CCCCC(C)=O,N#CC(=Cc1ccccc1)C#N,-11.08204525
OCc1ccccc1,c(cc2)ccc2N(c3ccccc3)c1ccccc1,-11.74385468
CCCCCCCC(OC(COC(CCCCCCC)=O)COC(CCCCCCC)=O)=O,CC(C)(C)c2ccc(OC(=O)c1ccccc1O)cc2,-13.04607625
CC(C)N(=O)=O,CCC(C)(C)CC,-3.25160857
CCCCCCOC(C)=O,Oc1ccccc1C=O,-7.29284974
O=N(c1ccccc1)=O,CCCCCCCCCCCCC=CC,-8.81753191
OCCC#N,COC1C(C(C)OC1C)=O,-7.09862718
CCCN(=O)=O,CS(Cc1ccccc1)(=O)=O,-12.33265497
OCCOCC,C2C4CC3(CC(C4)CC2C3)c1ccccc1,-9.75155435
CCCCOC(C)=O,N#CC(c1ccccc1)c(c(F)c2F)c(F)c(F)c2F,-11.33024968
CCCN(=O)=O,CCCCC(F)(F)C,-4.42940649
CCOC(OCC)=O,CNCCCl,-4.93043849
CCCCN(CCCC)C=O,O(CO2)CCC2c1ccccc1,-9.26798985
CCOC(=O)c1ccccc1,CC(C)(COC(C)=O)COC(C)=O,-8.64740834
CCN(CC)C(C)=O,CCc1occc1,-4.70793832
Cc1cccc(C)c1C,CCc1cscc1,-5.85298892
CC(CC1)CS1(=O)=O,CC41CCC3c2ccc(OC)cc2CCC3C4CCC1(O)C#C,-15.87060261
CCNC=O,Cc2cc1nc[nH]c1cc2C,-13.90447317
Clc2c1ccccc1ccc2,CNC(CC)CC,-4.67375675
CC(C)N(=O)=O,CCCC(C)C(C)C,-3.88846391
CC(C)(C)CC(C)=C,OCCOCCOCCOCCOCCO,-14.49743436
FC(F)C(F)C(F)(F)F,Cc1cn(C)c(=O)n(C)c1=O,-11.26256779
CCCCCC#N,O=N(=O)NC(=O)N,-10.16725097
CCOC(OCC)=O,CC2CC1=C(CCCC1(C)C)CC2(C)C(C)=O,-10.576909
CC(C)(C)CC(C)=C,Brc2c1ccccc1ccc2,-8.76446663
CCCCCC(C)=O,CCCCCCCCCCCCCCCC(OC)=O,-12.68601508
CCOC(OCC)=O,CC(=O)c(ccc1)cc1C,-8.14930385
CCOc1ccccc1,CCC(C)n(c(=O)[nH]c1C)c(=O)c1Br,-13.94507608
COC(CC#N)=O,O=CCc1ccccc1,-7.79602303
Clc1ccccc1Cl,BrCCCC=C,-5.37184427
CCOC(C)(C)C,NCc1cccnc1,-7.34174736
OCCCCCCC,O=S1(CCCC1)=O,-8.0182084
CCCCc1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-2.81107675
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,COCC1CCCO1,-5.07611771
OCCCCCCC,CN(C)C=CN(=O)=O,-9.93329601
CCNC(C)=O,Cc(ccc1sc2)cc1c2C,-8.27606891
O=N(c1ccccc1)=O,Clc(cc1Cl)cc(Cl)c1O,-8.81877184
CCCCCCCCBr,Clc1cc(Cl)c(Cl)c(O)c1Cl,-9.40703103
CCCCCC#N,COCCC(C)C,-4.1616604
CC(OCc1ccccc1)=O,Cc(nn1C)cc1Cl,-6.52612952
O=Cc1occc1,FC(Cl)C(F)(C)C(F)(F)C(F)(F)F,-3.83868819
CCOC(=O)c1ccccc1C(OCC)=O,CC1=CCCC1=O,-6.16738516
CCOC(C)=O,CCc1nccnc1CC,-7.70456096
Cc1cc(C)ccc1,CC(C)(C)c(cc1)ccc1O,-8.62105958
CCCCCCOC(C)=O,CC(C)CC(CC(C)C)(C(CC(C)C)(CC(C)C)C#N)C#N,-12.95364712
CCCCCCOC(C)=O,Oc1ccc(cc1)C(=O)NO,-14.50290186
CCN(=O)=O,CCc1ccccc1N,-8.1896845
CCNC(C)=O,C2C3CC(CC2CC5C3)C5C1OOC1C6C7CC(C4)CC6CC4C7,-13.60388768
N#CCc1ccccc1,CN1CCCC1c2cccnc2,-8.89483842
ClC1CCCCC1,Cc1ccnc3c1ccc2c3nccc2C,-14.45027282
CCOC(=O)c1ccccc1,N(C1=CC=CC=C1)C1=NC2=CC=NN2C(NC2=CC=CC=C2)=N1,-19.397879
CCN(CC)C(C)=O,CCOC(CC(OCC)=O)=O,-7.90028646
CC(C)N(=O)=O,CCOC(C1CCCCC1)=O,-7.32232609
CCCCc1ccccc1,CC(OCCCCCCCCC=C)=O,-9.73288705
OCCCCCCCC,CCC(O)C=CC,-6.28871374
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cc(ccc1c2ccc(C)cc2c3)cc1c3,-8.48670006
OCCCCCCCCCCCC,CCC(CC)Nc(c(cc1C)N(=O)=O)c(c1C)N(=O)=O,-12.38717853
CC(=O)c1ccccc1,CCOCC(F)C(F)(F)F,-4.32687959
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,Oc(ccc1Cl)cc1O,-9.95709576
CCCCCCOC(C)=O,CCCCCCCC(OC(C)C)=O,-8.21577122
CCCCCC(C)=O,COC1=CC=C(C=C1)N1C=NC2=C1C=C(C=C2)C1=NNC(=S)O1,-23.56965243
OCCCCCCCCC,CC(CCc(cc1)ccc1O)=O,-12.09721612
CCCCc1ccccc1,CCN=C=O,-3.47110691
FC(F)C(F)C(F)(F)F,FC(F)(F)C(F)=C(F)F,-1.81430479
CCCCCCOC(C)=O,OC(CCC#C)=O,-8.05391916
CCCCCC(C)=O,CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c2ccccc2,-18.03681964
O=CN1CCOCC1,C=CC1OC(OC1)=O,-9.30159545
CCCCN(CCCC)C=O,CC(=O)N1CCCCC1,-7.88175551
CCN(CC)C(C)=O,CCOC(=O)C=CC(OCC)=O,-8.49993803
Fc1ccccc1,CC(C)c1ccccc1C,-7.00437414
N#CCc1ccccc1,CC(C)=CCCC(C1CC=C(C)CC1)=C,-9.15935645
CCOC(OCC)=O,COC(F)C(F)C(F)(F)F,-4.2482999
CCCCCCCCN(CCCCCCCC)CCCCCCCC,n1ncccn1,-5.50309124
CC1OC(OC1)=O,CSc1ccc(C(C)=O)cc1,-10.54648153
OCCCCCCCC,Oc2cc(Cc1ccccc1)ccc2,-12.82402657
CC(C)(C)CC(C)=C,FCCCNCC,-4.58174877
CCCCN(CCCC)C=O,Nc1ncc(Br)cc1Br,-10.79971474
CCOC(OCC)=O,CC(C)CC(CC(C)C)OC(C)=O,-7.47136738
OCCOCCCC,FC1CCCN1,-5.19020463
ClC1CCCCC1,CCCCCCOCCCCCC,-8.40036601
