SMILES1,SMILES2,solute,solvent,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea,dGsolv_avg
CC(C)CC(=O)C,CC(C)CC(=O)C,4-methyl-2-pentanone,4methyl2pentanone,-5.23,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,136.054,34.177,91.612,27.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.712,0.0,0.0,13.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,190.943,-5.23
CCCCCCCC,CC(=O)O,n-octane,aceticacid,-3.93,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846,-3.93
CC1=CC=CC=C1,CC(=O)O,toluene,aceticacid,-4.53,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45,-4.53
CCO,CC(=O)O,ethanol,aceticacid,-5.25,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185,-5.25
C1COCCO1,CC(=O)O,"1,4-dioxane",aceticacid,-5.8,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316,-5.8
CCC(=O)C,CC(=O)O,2-butanone,aceticacid,-4.8,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104,-4.8
CC(=O)O,CC(=O)O,aceticacid,aceticacid,-5.3,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87,-5.3
C[N+](=O)[O-],CC(=O)O,nitromethane,aceticacid,-4.88,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242,-4.88
CCCCCCCC,CC#N,n-octane,acetonitrile,-3.57,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846,-3.57
CC1=CC=CC=C1,CC#N,toluene,acetonitrile,-4.68,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45,-4.68
CCO,CC#N,ethanol,acetonitrile,-4.43,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185,-4.43
C1COCCO1,CC#N,"1,4-dioxane",acetonitrile,-5.33,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316,-5.33
CCC(=O)C,CC#N,2-butanone,acetonitrile,-4.73,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104,-4.73
CC#N,CC#N,acetonitrile,acetonitrile,-4.85,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,38.186,30.572,25.764,19.707,0.0,27.654,0.0,0.0,10.972,5.967,0.0,17.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,96.412,-4.85
C[N+](=O)[O-],CC#N,nitromethane,acetonitrile,-5.62,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242,-5.62
CCCCCCCC,CC(=O)C1=CC=CC=C1,n-octane,acetophenone,-4.24,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846,-4.24
CC1=CC=CC=C1,CC(=O)C1=CC=CC=C1,toluene,acetophenone,-4.9,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45,-4.9
CCO,CC(=O)C1=CC=CC=C1,ethanol,acetophenone,-4.12,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185,-4.12
C1COCCO1,CC(=O)C1=CC=CC=C1,"1,4-dioxane",acetophenone,-5.03,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316,-5.03
CCC(=O)C,CC(=O)C1=CC=CC=C1,2-butanone,acetophenone,-4.39,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104,-4.39
CC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=C1,acetophenone,acetophenone,-7.59,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,92.659,73.893,62.626,95.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.358,0.0,0.0,14.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,188.909,-7.59
CC(=O)O,CC(=O)C1=CC=CC=C1,aceticacid,acetophenone,-6.2,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87,-6.2
C[N+](=O)[O-],CC(=O)C1=CC=CC=C1,nitromethane,acetophenone,-4.92,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242,-4.92
OO,CC(=O)C1=CC=CC=C1,hydrogenperoxide,acetophenone,-7.3,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,27.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.198,19.784,0.0,0.0,0.0,0.0,28.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,71.944,-7.3
CCCCCCCC,C1=CC=C(C=C1)N,n-octane,aniline,-3.48,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846,-3.48
CC1=CC=CC=C1,C1=CC=C(C=C1)N,toluene,aniline,-4.57,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45,-4.57
CCO,C1=CC=C(C=C1)N,ethanol,aniline,-4.45,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185,-4.45
C1COCCO1,C1=CC=C(C=C1)N,"1,4-dioxane",aniline,-5.65,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316,-5.65
CCC(=O)C,C1=CC=C(C=C1)N,2-butanone,aniline,-4.87,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104,-4.87
CC(=O)O,C1=CC=C(C=C1)N,aceticacid,aniline,-6.3,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87,-6.3
CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1=CC=C(C=C1)N,propanoicacid,aniline,-6.2,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,74.142,20.699,41.287,15.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.789,9.179,0.0,20.114,7.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135.63,-6.2
C1=CC=C(C=C1)N,C1=CC=C(C=C1)N,aniline,aniline,-7.61,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,88.183,59.941,42.242,80.39,0.0,10.955,18.043,0.0,2.956,13.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,159.079,-7.61
C[N+](=O)[O-],C1=CC=C(C=C1)N,nitromethane,aniline,-5.11,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242,-5.11
OO,C1=CC=C(C=C1)N,hydrogenperoxide,aniline,-7.8,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,27.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.198,19.784,0.0,0.0,0.0,0.0,28.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,71.944,-7.8
CCCCCCCC,COC1=CC=CC=C1,n-octane,anisole,-4.62,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846,-4.62
CC1=CC=CC=C1,COC1=CC=CC=C1,toluene,anisole,-4.95,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45,-4.95
CCO,COC1=CC=CC=C1,ethanol,anisole,-3.59,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185,-3.59
C1COCCO1,COC1=CC=CC=C1,"1,4-dioxane",anisole,-5.06,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316,-5.06
COC1=CC=CC=C1,COC1=CC=CC=C1,anisole,anisole,-6.33,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,95.456,68.582,64.505,79.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.457,0.0,0.0,3.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,176.496,-6.33
CCC(=O)C,COC1=CC=CC=C1,2-butanone,anisole,-4.43,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104,-4.43
