0,1,dGsolv_avg
CCCCCCCCC=C,OCCN(C)CCO,-6.29013244
CCI,Oc2ccccc2c1ccccc1,-10.49388225
CC(Cl)(Cl)Cl,COc(ccc2C(=O)c1ccccc1)cc2O,-13.54998808
CCCC,CN1C(CCC1=O)=O,-6.2793194
COCCOCCOCCO,Nc1ccccc1I,-9.84601805
CCI,CCOc1sccn1,-7.258743400000001
SC,CC1(C)CCCC1,-4.32599137
CCCCCl,OCC(C)C(F)(F)F,-4.67963816
CC(CC(C)=O)=O,CCCCCCOC(CCCCC(OCCCCCC)=O)=O,-12.58697894
COC(C)(C)C,CCCCCCCCCCCCCCCCCC(=O)N,-17.42371013
NCCCN,Fc1cc(OC(=O)NC)ccc1,-11.89126673
OCCC(O)C,FCC(O)=O,-7.82909331
CC(=O)c1ccccc1,CC1=CCCCC1,-4.26281257
Fc1c(F)c(F)c(F)c(F)c1F,FCOC(F)(F)C(F)(F)CF,-4.20804558
CN1CCCC1=O,CCN1C(=O)C=CC1=O,-7.81023082
CN1CCCCC1=O,CN1C=CC=CC1=O,-8.82355396
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,ClC(=O)c1ccc(C(Cl)=O)cc1,-7.65929946
OCCCCCCC,O=S1(CCCC1)=O,-8.0182084
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,CCCCC(C)CC,-4.25538744
OC(C)C(O)C,c(ccc1c2ncccc2c3)nc1c3,-11.20094912
CCCCCCCCCCCCC,c(cc2ccc4c6)c1ccc3ccc(ccc5c6)c7c3c1c2c4c75,-15.64539715
OCCCO,COCOC(F)(C(F)(F)F)C(F)(F)F,-1.88413526
C1CCCCC1,COC(=O)c(ccc1)cc1C,-7.22467736
Ic1ccccc1,OCCN(C(C)C)C(C)C,-7.19771644
O=C1CCCC1,CCCCON(=O)=O,-5.67324828
CNc1ccccc1,N#CC1CCC1,-6.68175382
COP(OC)(OC)=O,CC2=Cc1ccccc1C=C(C)C2=O,-11.05311883
CCCCCC(C)=O,CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c2ccccc2,-18.03681964
Brc2c1ccccc1ccc2,Clc1ccccc1N(=O)=O,-8.4760032
Brc2c1ccccc1ccc2,CCCCCCCCCC(OC(COC(CCCCCCCCC)=O)COC(CCCCCCCCC)=O)=O,-25.62911699
Cc1ccccn1,FC(C)OC(F)(F)C(F)F,-3.85647706
CCN(CC)CC,CCc2nc1ccccc1cc2,-8.87097464
OCCCCCCCCCCCC,FC1(F)C(F)(F)C(C(F)(F)C1(F)F)=O,-1.76771812
CCC(C)Cl,OCCc(cc1)ccc1N,-9.94993519
C1CCCC1,OC(=O)CC(=O)C(O)=O,-5.85642858
O,FCC(F)C(F)(C)CC,-1.94713938
CCCCOC(C)=O,CCOC(F)(F)C,-3.6268923
CC(C)N(=O)=O,COc1ccccc1CO,-9.21005935
CCBr,Oc(cc1Cl)cc(Cl)c1Cl,-10.43409846
CC(=O)c1ccccc1,FC(O)Cl,-6.80494343
OCCC#N,Oc1c(C)c(C)c(O)c(C)c1C,-11.09956294
OCCN,NNc1ccccn1,-9.14007097
CCCCCCCCCCCCCCC=C,ClCCCCCCl,-5.72330139
COCCOC,CCn1cnc2c1N=CNC2=O,-15.95185019
CCCCOCCCC,C(CCC3)CCCC3(C4(CCCCCCC4)c2ccccc2)c1ccccc1,-18.58310722
COC(C)(C)C,CC(OC=O)c1ccccc1,-8.15404747
CCCCCCCCCCC,CCC#CC,-2.92350167
CC(CC1)CS1(=O)=O,FC(F)(O)C(F)OC(F)(F)C(F)(F)F,-7.31391342
CC(C)(C)c1ccccc1,C=CCOC(=O)c1ccccc1C(OCC=C)=O,-11.56903561
ClC(Cl)=O,CCc1nc(C)cnc1C,-8.20140018
CCN(CC)C(C)=O,CCOC(=O)C#C,-5.74590534
CCCCCCCCCCCCCCC,CCOC(CCCCCOC(C)=O)=O,-8.46096551
O=CN,CCC(C)C2(C)COC(OC2)C1CC(C)=CC(C)C1,-7.90383816
CCC1OC1,Cc(cc1C)sc1C,-6.6423478000000005
CC(Cl)Cl,FC(F)C(F)(F)C(F)(C(F)F)C(F)(F)F,-3.1353513
CCCCC=C,ClC(Cl)C#N,-4.46377209
CCOc1ccccc1,O=CCC=O,-5.4784568
CC#N,Nc1cccc(C)c1N,-9.99056471
OC(C)(C)C,O=CCCc1ccccc1,-8.02413184
CCCC(C)C,OC1=CC2=C(SC(=O)O2)C=C1,-8.58571371
OCCC,CCC(C)=CCl,-4.03853924
ClB(Cl)Cl,FCC(F)(F)C(F)(F)C(F)C(F)(F)F,-3.22532247
COc1ccccc1,N#CCC=CCC#N,-9.42255231
N#CCCCC#N,O=CCCC=C2CC3CC2C1CCCC31,-8.89793979
NC(C)C,COC(=O)c1ccccc1,-7.20513142
ICI,COCOC(F)(C)C,-4.85503637
Oc1cc(C)ccc1,O=C1C2CCC1CC2,-7.994279799999997
CC(C)OC(C)C,COc(ccc1OC)cc1C=O,-9.71059929
CCOC(=O)c1ccccc1C(OCC)=O,CC1(OC(CC1)C(C)C(CC=C(C)C)=O)C=C,-9.95358578
OCCOCCN,FC(F)(F)C(F)(Cl)C(F)(F)C,-2.12994919
CCCC(C)=O,FC(F)(C)Br,-3.53158167
COP(OC)(OC)=O,FC(F)(F)C(F)C(Cl)(Cl)C(F)(F)F,-3.2921231
CCCCCC#N,COc(cn1)sc1C,-7.524604300000001
CCCCOC(=O)c1ccccc1C(OCCCC)=O,OCCOC(C)=O,-6.94438079
FCCCCCCCC,CCC=CCCC1(C)OC(CC1)=O,-9.77890465
CC(C)OC(C)C,CC=C(C)C,-3.16283904
CCCC(C)=O,FCCC(F)(F)C(F)(F)C(C)CC,-6.22448145
CCBr,COCC(O)=C,-5.37572434
CN1CCN(C)C1=O,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-2.72338315
CCCCC=C,O=C1SCCC1,-6.03846021
ClC(Cl)Cl,NCCCCCCCCCCCCCCCCCC,-15.46645632
ClCCl,CCCC(F)(C(F)(F)F)C(F)(F)F,-3.40971206
CC(Cl)Cl,FC(F)C(F)(C)C(F)Cl,-4.39302398
COC(OC)=O,NN1CCOCC1,-7.03351094
CCC(C)c1ccccc1,NC(C)Cc(cc1)ccc1O,-8.98126518
FC(F)C(F)C(F)(F)F,CCc(cc1)ccc1C,-5.51015991
CC(C)(C)c1ccccc1,FC(F)(F)C(F)(F)N=C(F)C(F)(F)F,-1.91711529
BrCCBr,FCOC(F)C,-3.56234411
OCCCCCCCCCC,CCCCNC(=O)n2c1ccccc1nc2NC(OC)=O,-18.09811259
N#CCCOCCC#N,C(CN1)CCC1c2cccnc2,-8.61742786
CC(CC(C)=O)=O,CC(C)(Cl)C=O,-5.09740371
O(c2ccccc2)c1ccccc1,OC(CC=C)=C,-4.93622422
CCCCCN(CCCCC)CCCCC,CCCC(OC2CC3C1C=CCC1C2C3)=O,-9.73479755
CCCCOC(C)=O,CON=O,-2.52429855
CCC(C)Cl,O2CCOCCOc1ccccc1OCCOCCOCC2,-17.69068265
C=Cc1ccccc1,COC(C)(C)CC(C)=O,-6.962171400000001
OCC(O)C,FC(C)C(F)C(F)C,-4.22421802
OCCOCC,FC(F)(F)OC(F)CC(F)(F)F,-3.42565901
CCCCl,COc(cnc1)nc1C,-7.23199787
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CCCC(OCC=Cc1ccccc1)=O,-9.57780893
CN1CCCCC1=O,CCCCCCCC(OOC(CCCCCCC)=O)=O,-12.30574649
CN1CCCCC1=O,N#CCc1occc1,-8.10353723
CC(Br)Br,FC(F)C(F)(O)Cl,-4.14405718
OCCCCCCCC,COC(F)(F)C(F)Br,-4.09988539
OCCC,CCCCCCCC(C)=C,-5.55478452
Cc1cccc(C)c1C,OCCNCCCC,-6.49903884
CC(C)=C,OCCN1CCNCC1,-7.65090498
CCOC(=O)c1ccccc1,OC(=O)CNC=O,-11.0165481
OCCC,Clc1cocc1,-4.28730708
OCCC,CC(C)(C)OOCC=C,-5.20145176
OCC(O)C,CC1CCC(CC1OC(C)=O)C(C)=C,-7.42555904
NCc1ccccc1,O=N(=O)c1c[nH]c(=O)[nH]c1=O,-22.20530061
C(C=Cc1cc2)c1cc2,CCOc1ccccc1O,-8.15994984
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,NN,-1.30306861
CCC(C)C,CCC(C)CC(F)(F)F,-4.03171843
CC(C)c1ccccc1,CCOC(=O)C(C#N)c(c(F)c1F)c(F)c(F)c1Cl,-10.55294476
NC(C)C,OC(=O)c(ccc1)cc1C=O,-15.00536338
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C)CC=N,-3.14111732
CCN(=O)=O,COc1cc(C)cc(OC)c1O,-10.44841843
Cc1ccc(C)cc1,FC(C)C(F)(C(F)(F)F)C(F)(F)F,-2.99413558
CCOC(=O)c1ccccc1C(OCC)=O,CC1=NC2=C(O1)N=C(N)NC2=O,-17.803475100000004
CC(C)N(=O)=O,OCC(C)C(F)(F)F,-5.36096747
OCCCCC,O[PH](=O)c1ccccc1,-14.20878517
CCCCC=C,S=C1NCCS1,-8.17640789
N1CCCC1,CCCC(O)C(O)=O,-13.20538926
CCCCOC(=O)c1ccccc1C(OCCCC)=O,Cc1nc(C)cc(N)n1,-9.48305357
CC(Br)Br,CC1(C)N=NC1(C)C,-7.82056672
CCCCCCCCCCCC,CCCN(CCC)c1c(cc(C(C)C)cc1N(=O)=O)N(=O)=O,-13.58488911
CN1CCCC1=O,C=CCc2cc1OCOc1cc2,-8.58380016
CCCCCCCCBr,COc1cc(C=CC)ccc1OC(C)=O,-10.76587146
CCCCCCC=C,CCCC(O)(C)CCC,-6.19526596
ICI,O=C2C=Cc1ccccc1C=C2,-12.31793858
Fc1c(F)c(F)c(F)c(F)c1F,CCOC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,-4.40887628
CCCOCC(O)C,c(ccc2c1ccccc1o3)cc32,-8.97928407
ClC(Cl)=O,FCCF,-2.55280183
Cc1cccc(C)c1C,CC2(C)C(C1(C)CC2CC1)OC(C)=O,-7.93527621
CN1CCN(C)C1=O,Nc1cccnc1,-10.13473752
CC(C)C(C)C,BrC(=O)c1ccccc1,-7.26558495
CCCCCCOC(C)=O,COC1=CC=C2C(=O)C(=COC2=C1)C1=CC=C(O)C=C1,-18.79839216
Clc1ccccc1Cl,CNCC(C)(C)CF,-5.18333015
Clc2c1ccccc1ccc2,OCc1ccc(C(O)=O)cc1,-9.63734839
CCOC(=O)c1ccccc1,CN(C)C=Nc1cc(cc(c1)N(=O)=O)N(=O)=O,-15.38839702
O(Cc2ccccc2)Cc1ccccc1,c(ccc1c5)cc1cc2c5c4c3c2cccc3ccc4,-14.43846002
Ic1ccccc1,CCC(C)N(=O)=O,-5.58667658
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ClC#CCl,-1.72004558
CCCCCC#N,CCC(C)N=C=S,-5.61731515
CCBr,FC(F)(C)C(F)(F)C(F)(F)C,-4.13712466
Clc1ccccc1,OCCCCCCCCCCCCCCC,-12.2204008
OCCN,FCCNCCF,-4.98365503
C=Cc1ccccc1,FC(F)(F)C(C(F)(F)F)C(F)(F)F,-2.03794515
CC(C)=O,CCCOC(F)(F)CCF,-5.38079351
CC(C)c(cc1)ccc1C,CCC=CCC=CCC=CCCCCCCCC(O)=O,-14.6723168
CCCCCCCCCCCCCC,N#N=NC(c1ccccc1)=O,-6.35887005
BrC(Br)C(Br)Br,CC=C1CCCC1,-4.35281916
OCCCl,Brc1ccccc1,-5.57798068
Clc2c1ccccc1ccc2,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,-0.50812988
N1CCCC1,FCOC(C)CF,-4.45658127
CCC(O)(C)C,COC(Cl)Cl,-4.04257995
CCCCCCCCC,OCCCCCCCCC=CCCCCCCCC,-13.21057247
CNC=O,FC(F)Br,-2.83078967
CNc1ccccc1,CC(C)c(cc1)ccc1N,-8.52440471
CC(C)c1ccccc1,Brc4ccc(cc4)N=P(N3CCCC3)(N2CCCC2)N1CCCC1,-19.88269577
OCCS,CC(C)CCCC(C)CCCC(C)CCCC(O)(C)C=C,-12.54995118
COc1ccccc1,CNc2cccc3c2C(=O)c1ccccc1C3=O,-13.91386043
C1CC=CCC1,Fc(ncc1F)cc1F,-4.5377967
CN(C)P(=O)(N(C)C)N(C)C,C(CCC3)CCCC3(C4(CCCCCCC4)c2ccccc2)c1ccccc1,-18.02168734
COCCOCCOCCO,C(CC2)CCC2c1ccccc1,-7.44012437
CC(C)C(C)C(C)C,NC(=N)C1=CC2=C(C=CC=C2NC2=NC=CC=N2)C=C1,-15.50645767
CCC#N,OC(CC1=CCCC1)=O,-9.39337718
OCC1CCCO1,OC(=O)c(c(C)cc1C)c(C)c1C,-12.79591157
CN(C)C(C)=O,Clc1cccc(Cl)c1C,-6.85084917
BrCCBr,COc1cc(CC=C)ccc1O,-9.46087796
CNc1ccccc1,CC1(C)C(CCC21C)CC2=NN(=O)=O,-10.4539429
CCCCCCCCCCCCCC,FC,-0.29790372
C=CC=C,FC(F)(F)c(c(F)c1F)c(F)c(F)c1F,-4.75435755
CCN(CC)CC,CCCCCCCCCC(C)CC#N,-10.96725291
CC#N,CN,-2.83874194
COCCOCCO,C(C1)CC2C=CCC1C2,-4.57886113
Oc1cc(C)ccc1,FC(F)OC(F)C(F)(F)C(F)(F)F,-2.22034776
O(c2ccccc2)c1ccccc1,FCC(N)CN,-5.13115642
OCc1ccccc1,CC(C)C(OCC1(OC(OC2COC(C)=O)C(C(C2OC(C(C)C)=O)OC(C(C)C)=O)OC(C(C)C)=O)OC(COC(C)=O)C(C1OC(C(C)C)=O)OC(C(C)C)=O)=O,-25.85023741
CCCCOCCCC,C=CC1OC(OC1)=O,-7.08227972
CCN(CC)CC,O=N(OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O)=O,-5.50176032
c1cscc1,CCOC(F)(F)C(F)(F)CF,-4.86342358
OCCCC,O=NN1CCOCC1,-7.74532157
FC(F)C(F)C(F)(F)F,O3CCOc1ccccc1OCCOCCOc2ccccc2OCC3,-22.65352814
CCOC(CCC)=O,CCCCCCCCCCCCCCCCCCc1ccccc1,-16.33754805
FC(F)(F)C(F)(F)C(F)(F)F,OCCOCCOCCCCCC,-6.38304949
OCCCCCCCCCC,Cc(ccc1N(=O)=O)cc1F,-7.4468485
CS(C)=O,CC(CCCC1(C)C)C1CCC(C)=O,-7.50452555
CC(C)(C)CC(C)=C,CCCC(F)(Cl)C(F)(F)C,-4.92139148
OCCCCCC,CNC(N)=NC#N,-15.12117811
ClC(Cl)(Cl)Cl,ClCC(Cl)(Cl)C(F)(F)F,-4.62459799
CC(C)CC(C)C,OC(C(O)C(O)C(O)=O)C(O)C=O,-9.33334052
OCCCl,FCC(=O)N,-8.030703200000001
COCCO,CCC=CCCOC(C(O)C)=O,-8.07664803
CCOC(CCC)=O,O=N(=O)c1cc(ccc1)C(=O)N,-13.34828403
CCC(O)CC,Cc1cc(C)[nH]c1,-6.76170459
Clc1ccccc1,N#CCC(N)=C(C#N)C#N,-11.08002444
COCCO,COCCOCCO,-8.2362069
CC(C)OC(C)C,Nc1cnccc1N,-8.75219839
N#CCCCCC#N,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.6093033
CC(Br)Br,CC(C)C(C)C=CC(C)C1CCC3C(C4CCC31C)=CC=C2CC(O)CCC42C,-18.26566738
CCCCC=C,CCCC(F)(F)C(F)(F)C(F)(F)F,-3.72661317
CCOC(C)=O,CN(C)c2ccc(cc2)C(=O)c(cc1)ccc1N(C)C,-18.93182665
CC(CC1)CS1(=O)=O,CC(=Cc2ccccc2)c1ccccc1,-9.22454795
CCCCCN(CCCCC)CCCCC,CC1C(CCC1(C)OC(C)=O)C(C)=C,-7.79608789
O=CN,FC1CCCCC1,-3.09971525
N#Cc1ccccc1,Clc1ccn(cc1)=O,-8.61640169
N#CCCCCC#N,C1CN=PO1,-5.11289656
Cc1cccc(C)c1C,CCCCCC(OC(C)C1)OC1(C)C,-9.13573923
Clc1ccccc1Cl,CC=C(C)c1ccccc1,-6.83369959
ClC(Cl)(Cl)Cl,CC(C)c(sc1)nc1C,-7.35544605
O1CCCCC1,CSCCC(C)=O,-7.36480128
Clc2c1ccccc1ccc2,FC(C)N(C)C,-4.0325433
O=CN,Nc1ncccn1,-8.92557859
CCOP(OCC)(OCC)=O,CC(C)OC(=O)c1ccccc1,-7.95822785
CC(C)(C)CC(C)=C,OCCCCCCCCCC,-8.40523261
OCCCCO,O=C2CCCC2C1CCCC1,-7.02519463
CC(C)N(=O)=O,OC(=O)c(c(C)cc1C)c(C)c1C,-11.1333946
CCC(O)(C)C,CCCC(=O)C=CC1C(C)CCCC1(C)C,-10.40723289
ICI,FC(F)C(F)(C)C(F)(F)C(F)(F)F,-2.30845834
ClB(Cl)Cl,O=C2c1ccccc1C=CC2=O,-10.49059397
CCCCN(CCCC)C=O,FCC(F)(F)OC(F)(F)C,-4.22810808
Ic1ccccc1,COC(Cl)(C(F)(F)F)C(F)(F)F,-3.17513355
CCCCl,Fc4c(F)c3c(c(F)c4F)c2ccccc2C3c1ccccc1,-13.06623077
CCN(CC)CC,OC(=O)CN1C2=CC=CC=C2C(=O)C2=CC=CC=C12,-17.60223755
CCNCC,O1CCCC1,-3.79031589
CC(=C)C#C,CCC(C)COC(C)=O,-6.39458507
NCCCN(C)C,CC2(CCC1CC2)OC1(C)C,-6.62952359
C=Cc1ccccc1,OCc1ccc(Cl)cc1,-8.14391542
OCCCO,FC(F)(F)C(F)(F)C(F)(F)O,-6.78492369
ClC(Cl)=C(Cl)Cl,CC32CCCCC2CCC4C1CCC(C1(C)CCC43)=O,-13.68101457
CCOC(OCC)=O,OC(=O)c1nc[nH]c1C(O)=O,-14.933323
CN1CCN(C)C1=O,CCC(C)C(F)C,-3.68828243
CNC=O,CC(C)C1CC1,-2.20885411
CC(C)C,CC(C)CCC#C,-4.40451408
OCC(O)C,FCC(Cl)C(C(F)(F)F)C(F)(F)F,-3.86520709
CCC(C)=O,OC(CC(C)CC1(C)C)C1,-7.94848259
C(CCc1cc2)Cc1cc2,O=N(=O)c1ccn(=O)cc1,-8.53180574
CCOc1ccccc1,FC(F)(C)C(F)(F)C(F)(F)C(F)(F)C,-4.19779785
C(CCc1cc2)Cc1cc2,CCC(C)=C(C)C,-4.33149486
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Oc(ccc1N(=O)=O)cc1C,-5.58595541
OCCN(C)CCO,CCC(O)C(F)(F)C(F)(F)F,-6.31501681
CCCCOCCCC,CC1NC(CC1)=O,-6.97052028
BrC(Br)Br,FC(F)(F)CC(F)(Cl)Cl,-3.7853191
CCCCOC(C)=O,NCC(F)C,-4.15816166
CCC(C)Cl,OCCCC(C)C,-5.80262071
CNC=O,O=C3c1ccccc1NC3=C4Nc2ccccc2C4=O,-15.4435
CCCCC(C)=O,CCCOC(F)(F)C(C)CF,-5.31771138
CC(C)CC(C)C,CCOc1cc(C(O)=O)ccc1,-8.09370842
CC(C)CCC(C)(C)C,ClC(=O)c1ccccc1C,-7.10228426
CC(C)c1ccccc1,CCCCCCCCCCCCCN1CCCC1=O,-15.22586432
COC(C)=O,CCCCC=CCCC=O,-7.49325039
C1CCCC1,COCCOCCOCCOCCOCCOC,-12.50575953
CCCC(C)=O,O=C1CCCCCCCC=CCCCCCCC1,-12.96131072
CCCC(C)C,CCC(OC2CC3C1CC=CC1C2C3)=O,-9.38955806
CCCC(C)CC,Cc(ccc1C)cc1N,-6.7408024000000015
O=Cc1occc1,FCCC(F)(CF)C(F)(F)F,-4.58919909
CCCCOC(C)=O,CCc1ccncc1,-6.63710994
NCC,CCOc1nccnc1C(C)C,-7.73270364
c2nc1ccccc1cc2,CC1(C)CCC(CC1=O)=O,-9.18731965
CCC(O)CC,OC(C1=CC2=CC=CC=C2O1)C1=CC=C(Cl)C=C1,-14.79997451
Brc1ccccc1,CCN(C)CN=C,-5.32095842
CC=O,CCc1ccc(C(C)C)cc1,-6.6035842
N1CCCC1,FC(F)(F)C(F)C(F)(F)O,-11.01434365
CCCCCCCC=C,FB(F)F,-0.10073097
CCCl,CC(C)(S)C1CC=C(C)CC1,-8.82885682
CI,CCCCCCCCCCCCCCC(=O)N(C)C,-15.4967343
CCC(C)(C)C,Oc2ccc(N)c3c2C(=O)c1ccccc1C3=O,-12.33384275
ClCBr,C#Cc1ccccc1,-6.07434058
CC(C)C(C)C(C)C,BrC=C(F)F,-2.41433166
O=C1CCCO1,N=CN,-6.78412791
CCN(=O)=O,ClC(Cl)C(O)=O,-8.2863561
OCCCCCCCCCC,NCCc(cc1)ccc1O,-12.23770236
Brc2c1ccccc1ccc2,CC(CCc1ccc(OC(C)=O)cc1)=O,-12.23336626
ClC(Cl)C(O)=O,CCC(C)c(cc1)ccc1O,-9.45711569
CC(C)c(cc1)ccc1C,c(cc2)ccc2N=C(c1ccccc1)Nc3ccccc3,-15.61419572
O(c2ccccc2)c1ccccc1,FC(C)OC(C(F)(F)F)C(F)(F)F,-3.58661927
CC(Cl)(Cl)Cl,CCCN=CN(C)C,-6.56962486
C(CC2)CCC2c1ccccc1,CC(=O)c(cc1)sc1C,-7.97121099
COC,S(SCc2occc2)Cc1occc1,-12.30883348
O=CN1CCOCC1,Fc1cc(N)ccc1,-8.86394187
CN1CCCC1=O,COP(OC)OC,-5.13164501
CCCCOCCCC,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-6.4646654
CC(OCc1ccccc1)=O,OC(=O)c(c(C)c1C)c(C)c(C)c1C,-12.6994896
CCOC(OCC)=O,CCCCCCC#CCC,-6.31028776
CC(C)N(=O)=O,ClC(=O)c1ccccc1F,-7.85049495
CCCCCC#N,CCCC=CCl,-4.45101727
OCCC(C)C,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-11.10481122
CC(CC1)CS1(=O)=O,NCCc1ccccn1,-8.20926153
COCCOCCO,CC(CCC1C2(O)C)CC1C(C(C)C)CC2,-10.44996403
CCOC(CCC)=O,OCCNCC,-5.93539077
ClC1CCCCC1,FC(Cl)C(F)(F)C,-3.49330293
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCCCC)=O,-19.57225429
CCCl,CCCCCCCCCCCCC(OO)=O,-11.57728981
CCCCCCCC=C,O=C1CC=CO1,-4.50004717
CN(C)C=O,CCC=CCC(CCC1=O)=C1C,-9.01567475
OCCOCC,CNCCC,-4.44156566
COC,CCN=P(N2CCCC2)(N1CCCC1)N=P(N5CCCC5)(N4CCCC4)N3CCCC3,-20.84297717
CCN(CC)C(C)=O,CNCC(N)N,-6.39220145
ClB(Cl)Cl,CCC(C)C2(C)COC(OC2)C1CC(C)=CC(C)C1,-12.85775111
CCN1CCCC1=O,CCc1ccc(O)cc1O,-16.1869714
CCCCCCCCCCCC,C(CC1)CC=C1c2ccccc2,-8.38377655
C(CC1)CCC1C2CCCCC2,OO,-1.60135485
ClC(Cl)C(Cl)Cl,CC(C)CCCC(C)CCCC(C)CCCC(C)=CCO,-15.35264846
C#N,OCCCC=CCC,-9.84595548
CSC,C2Oc1ccccc1CC2,-7.97451739
N#CCCCC#N,CC1(C)C(C)=CCC1CC#N,-8.16151204
CCCCCCCl,OC1COC2C1OCC2O,-8.84833023
O=C1CCCO1,OC(C)CC(O)(C)C,-9.30994488
OCCCCCO,COP(OC)(CC)=O,-7.57015574
COCCOCCOC,CCC2(O)C1(C)CC(CC1)C2(C)C,-8.30245142
CCCCNCCCC,OCCSC,-6.84367977
Fc1ccccc1,CCC(F)(F)C(F)(F)CC,-4.47359086
COC(CC#N)=O,Cc(ccc1O)cc1C=O,-7.62326082
C(C=Cc1cc2)c1cc2,OCc1ccccn1,-7.70184042
NCCC,FCC1CCCC1,-4.26378797
CCCC=O,c(cn1)cnc1c2ncccn2,-13.1059486
CC1OC1,CC1(C)OC1,-3.90421765
CNC=O,CNc2cccc3c2C(=O)c1ccccc1C3=O,-12.91437149
CCC=C,FN(F)C#N,-1.03398681
Cc1ccccc1,SCC(O)C(O)CS,-9.05525207
CCOC(OCC)=O,SCc(cc1)oc1C,-7.27940172
CCCCNCCCC,CC1CC(C)=CC1,-4.30897425
OCCCCCCCCCC,CN(C)C(C)=NC(SCc1ccccc1)=S,-13.89088091
CCCCCCCC=C,CCN(CC)P(Sc1ccccc1)(=O)N(CC)CC,-12.54680998
CCC,CCCC#N,-4.15424784
O1CCCCC1,Cc(cc1C)cc(C)c1Cl,-7.61321487
COC(C)(C)C,O=P(Oc3ccccc3)(Oc2ccccc2)Oc1ccccc1,-16.63388262
OCc1occc1,COc1ccc(C(C)=O)cc1,-9.7945684
C(C=Cc1cc2)c1cc2,CC(C)C(C)=N,-4.98689546
CSC,FC(F)(F)P2P1(C(F)(F)F)=P2(C(F)(F)F)P1C(F)(F)F,-5.17809694
CN1CCCCC1=O,Ic2cc1ccccc1cc2,-10.61604252
CC(C)(C)Cl,CC(Cl)C#N,-5.60616065
NCCN,FC(Cl)C(O)=O,-12.19962889
CCOCCOCCOCC,Cc2cc1ccccc1cc2,-8.15494889
CO,CC(C)=CC(C)=C,-3.65939269
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NCN(C)C(C)C,-3.37878326
Cc1cc(C)ccc1,CCC(O)CCC1C(C)CCCC1(C)C,-10.39077777
