smiles,text
COC(C)C,The molecule is an ether compound having methyl and isopropyl as the two alkyl groups. It has a role as an anaesthetic.
CC(=O)c1cccnc1,The molecule is an aromatic ketone.The molecule is a natural product found in Nicotiana tabacum with data available.
CCCCCC=O,"Hexaldehyde appears as a clear colorless liquid with a pungent odor. Flash point 90 °F. Less dense than water and insoluble in water. Vapors heavier than air.The molecule is a saturated fatty aldehyde that is hexane in which one of the terminal methyl group has been mono-oxygenated to form the corresponding aldehyde. It has a role as a human urinary metabolite. It is a saturated fatty aldehyde, a n-alkanal and a medium-chain fatty aldehyde. It derives from a hydride of a hexane.The molecule is a natural product found in Vitis rotundifolia, Chaenomeles speciosa, and other organisms with data available.The molecule is a uremic toxin.  Uremic toxins can be subdivided into three major groups based upon their chemical and physical characteristics: 1) small, water-soluble, non-protein-bound compounds, such as urea; 2) small, lipid-soluble and/or protein-bound compounds, such as the phenols and 3) larger so-called middle-molecules, such as beta2-microglobulin. Chronic exposure of uremic toxins can lead to a number of conditions including renal damage, chronic kidney disease and cardiovascular disease.The molecule is an alkyl aldehyde found in human biofluids. Human milk samples collected from women contains hexanal. Among mediators of oxidative stress, highly reactive secondary aldehydic lipid peroxidation products can initiate the processes of spontaneous mutagenesis and carcinogenesis and can also act as a growth-regulating factors and signaling molecules. In specimens obtained from adult patients with brain astrocytomas, lower levels of n-hexanal are associated with poorer patient prognosis. Hexanal is a volatile compound that has been associated with the development of undesirable flavours. The content of hexanal, which is a major breakdown product of linoleic acid (LA, n - 6 PUFA) oxidation, has been used to follow the course of lipid oxidation and off-flavour development in foods, and have been proposed as one potential marker of milk quality. A cardboard-like off-flavour is frequently associated with dehydrated milk products. This effect is highly correlated with the headspace concentration of hexanal. (A7871, A7872).The molecule is a metabolite found in or produced by Saccharomyces cerevisiae."
C=CC1CCC=CC1,The molecule is a cyclic olefin.
O=C(OC(C)C)C1=CC=CC=C1C(OC(C)C)=O,"The molecule is a phthalate ester, a diester and an isopropyl ester."
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,"1,2,3,4-tetrachlorodibenzo-p-dioxin appears as colorless needles or white powder. (NTP, 1992)The molecule is a polychlorinated dibenzodioxine.The molecule is one of 75 chlorinated dibenzo-p-dioxin (CDD) congeners. CDDs are a class of manufactured chemicals that consist of dioxin skeletel structures with chlorine substituents. They are also persistent organic pollutants (POPs), thus their production is regulated in most areas. Dioxins occur as by-products from the manufacture of organochlorides, the bleaching of paper, chlorination by waste and drinking water treatment plants, municipal solid waste and industrial incinerators, and natural sources such as volcanoes and forest fires. (L177, L178)"
C1CC=CC1,Cyclopentene appears as a colorless liquid. Less dense than water and insoluble in water. Flash point below 0 °F. Vapors heavier than air. Inhalation of high concentrations may be narcotic. Used to make rubber and plastics.The molecule is a cycloalkene that is cyclopentane having one endocyclic double bond.The molecule is a natural product found in Trichoderma harzianum with data available.A group of alicyclic hydrocarbons with the general formula R-C5H9.
CC1=CC=CC=C1Br,"The molecule is a clear colorless to pale beige liquid. (NTP, 1992)"
CCCCCCC1=CC=CC=C1,The molecule is a member of benzenes.
ClCC(Cl)(Cl)Cl,"Tetrachloroethane appears as a colorless dense liquid with a sweet chloroform-like odor. Irritated skin, eyes and mucous membranes. Used as a solvent, insecticide and in paint removers.The molecule is a clear colorless liquid. (NTP, 1992)The molecule is a member of chloroethanes."
CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,The molecule is a member of naphthalenes.
CCCCC=C,"1-hexene appears as a clear colorless liquid with a petroleum like odor. Flash point -9 °F. Less dense than water and insoluble in water. Vapors heavier than air. Used as a solvent, paint thinner, and chemical reaction medium.The molecule is an alkene that is hexane carrying a double bond at position 1.The molecule is a natural product found in Lonicera japonica and Oryza sativa with data available."
CCI,"The molecule is an iodoalkane that is ethane substituted by an iodo group. It derives from a hydride of an ethane.The molecule is a natural product found in Mastocarpus stellatus, Fucus vesiculosus, and other organisms with data available."
CCCC(C)C,"Watery liquid with a gasoline-like odor, Floats on water. Produces an irritating vapor. (USCG, 1999)Methyl pentane appears as colorless liquid. Isomers (2-methyl, 3-methyl) are possible and present in technical mixtures or singly for research purposes. Used in organic synthesis and as a solvent.The molecule is an alkane.The molecule is a natural product found in Vitis rotundifolia and Solanum lycopersicum with data available.The molecule is an isomer of hexane. Hexane is a chemical made from crude oil. It is highly flammable, and its vapors can be explosive. Pure hexane is used in laboratories. Most of the hexane used in industry is mixed with similar chemicals called solvents. The major use for solvents containing hexane is to extract vegetable oils from crops such as soybeans. These solvents are also used as cleaning agents in the printing, textile, furniture, and shoemaking industries. Certain kinds of special glues used in the roofing and shoe and leather industries also contain hexane. Several consumer products contain hexane, such as gasoline, quick-drying glues used in various hobbies, and rubber cement. (L175)"
C=CCl,"Vinyl chloride appears as a colorless gas with a sweet odor. Easily ignited. Shipped as a liquefied gas under own vapor pressure. Contact with the unconfined liquid may cause frostbite by evaporative cooling. Leaks may be liquid or vapor. Vapors are heavier than air. May asphyxiate by the displacement of air. Under prolonged exposure to fire or intense heat the containers may rupture violently and rocket. Suspected carcinogen. Used to make plastics, adhesives, and other chemicals.The molecule is a colorless gas. It burns easily and it is not stable at high temperatures. It has a mild, sweet odor. It is a manufactured substance that does not occur naturally. It can be formed when other substances such as trichloroethane, trichloroethylene, and tetrachloroethylene are broken down. Vinyl chloride is used to make polyvinyl chloride (PVC). PVC is used to make a variety of plastic products, including pipes, wire and cable coatings, and packaging materials. Vinyl chloride is also known as chloroethene, chloroethylene, and ethylene monochloride.The molecule is a monohaloethene that is ethene in which one of the hydrogens has been replaced by a chloro group. It has a role as a carcinogenic agent. It is a member of chloroethenes, a monohaloethene and a gas molecular entity.The molecule is a chlorinated hydrocarbon occurring as a colorless, highly flammable gas with a mild, sweet odor that may emit toxic fumes of carbon dioxide, carbon monoxide, hydrogen chloride and phosgene when heated to decomposition. Vinyl chloride is primarily used to make polyvinyl chloride to manufacture plastics. Exposure to this substance affects the central and peripheral nervous system and causes liver damage. Prolonged exposure to vinyl chloride can cause a set of symptoms that is characterized by Raynaud's phenomenon, joint and muscle pain and scleroderma-like skin changes. Vinyl chloride is a known human carcinogen and is associated with an increased risk of developing liver cancer, predominantly angiosarcoma of the liver, but is also linked to brain and lung cancer as well as cancer of the lymphatic and hematopoietic system. (NCI05)The molecule is a man-made organic compound, formed when other substances such as trichloroethane, trichloroethylene, and tetrachloroethylene are broken down. In its monomer form it is acutely hazardous, thus it is primarily used for the production of polymers. At room temperature it is a flammable, colorless gas with a sweet odor, but it is easily condensed and usually stored as a liquid. It is one ingredient of cigarette.(L3)The molecule is the starting material for polyvinyl resins. Toxicity studies have shown various adverse effects, particularly the occurrence of liver neoplasms."
COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,"The molecule is a white crystalline solid which is often dissolved in a liquid carrier such as diesel oil. It can cause illness by inhalation, skin absorption and/or ingestion. The primary hazard is the threat to the environment. Immediate steps should be taken to limit its spread to the environment. If dissolved in a liquid carrier, it can easily penetrate the soil and contaminate groundwater and nearby streams. It is used as a pesticide.The molecule is a manufactured chemical that does not occur naturally in the environment. Pure methoxychlor is a pale-yellow powder with a slight fruity or musty odor. Methoxychlor is used as an insecticide against flies, mosquitoes, cockroaches, chiggers, and a wide variety of other insects. It is used on agricultural crops and livestock, and in animal feed, barns, grain storage bins, home gardens, and on pets. Methoxychlor is also known as DMDT, Marlate®, or Metox®.The molecule is an organochlorine insecticide. It is functionally related to a 1,1,1-trichloro-2,2-diphenylethane.The molecule is not available. In an acute oral study in animals, changes in the liver were reported. Dermal contact with methoxychlor is slightly irritating to skin. Chronic oral exposure of animals to methoxychlor has resulted in effects to the liver, kidneys, and nervous system. Reproductive and developmental effects are the primary concern from methoxychlor exposure. Animal studies have reported developmental and reproductive effects, such as abortions, reduced fertility, reduced litter size, and skeletal effects from oral exposure to methoxychlor. EPA has classified methoxychlor as a Group D, not classifiable as to human carcinogenicity. Inhalation studies are not available for methoxychlor. However, oral studies are available and a risk management decision can be made to assume that the hazards resulting from oral exposure may be indicative of that resulting from inhalation exposure.The molecule is a manufactured organochlorine used as an insecticide against flies, mosquitoes, cockroaches, chiggers, and a wide variety of other insects. It is used on agricultural crops and livestock, and in animal feed, barns, grain storage bins, home garden, and on pets. (L167)An insecticide. Methoxychlor has estrogenic effects in mammals, among other effects."
CC1=CCCC(=CCC(=C(C)C)CC1)C,"The molecule is a natural product found in Eugenia uniflora, Lepidozia vitrea, and other organisms with data available."
CN(C)C(=O)NC1=CC=CC=C1,"The molecule is a member of the class of 3-(3,4-substituted-phenyl)-1,1-dimethylureas that is urea in which one of the nitrogens is substituted by a phenyl group while the other is substituted by two methyl groups. It is a herbicide used for the control of weeds in beetroot as well as various vegetable and ornamental crops. It has a role as an agrochemical, an environmental contaminant, a herbicide, a xenobiotic and a photosystem-II inhibitor."
CC,"The molecule is easily ignited. The vapors are heavier than air. It can asphyxiate by the displacement of air. Under prolonged exposure to fire or intense heat the containers may rupture violently and rocket. Contact with the liquid may cause frostbite.The molecule is hot, there is the possibility that a liquid ""superheat"" explosion may occur. Pressures may build to dangerous levels if liquid gas contacts water in a closed container. Under prolonged exposure to fire or intense heat the containers may rupture violently and rocket. Used in manufacturing other chemicals.The molecule is an alkane comprising of two carbon atoms. It has a role as a refrigerant and a plant metabolite. It is a gas molecular entity and an alkane.The molecule is a natural product found in Eupatorium capillifolium, Bupleurum acutifolium, and other organisms with data available.A two carbon alkane with the formula H3C-CH3."
C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,"3,4-dichloronitrobenzene appears as colorless crystals or light beige solid. (NTP, 1992)"
CCc1ccccc1,"Ethylbenzene appears as a clear colorless liquid with an aromatic odor. Flash point 59 °F. Less dense than water (at 7.2 lb / gal) and insoluble in water. Hence floats on water. Vapors heavier than air. Used as a solvent and to make other chemicals.The molecule is a colorless, flammable liquid that smells like gasoline. It is found in natural products such as coal tar and petroleum and is also found in manufactured products such as inks, insecticides, and paints. Ethylbenzene is used primarily to make another chemical, styrene. Other uses include as a solvent, in fuels, and to make other chemicals.The molecule is an alkylbenzene carrying an ethyl substituent. It is a constituent of coal tar and petroleum.The molecule is mainly used in the manufacture of styrene. Acute (short-term) exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness. Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood. Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. Limited information is available on the carcinogenic effects of ethylbenzene in humans. In a study by the National Toxicology Program (NTP), exposure to ethylbenzene by inhalation resulted in an increased incidence of kidney and testicular tumors in rats, and lung and liver tumors in mice. EPA has classified ethylbenzene as a Group D, not classifiable as to human carcinogenicity.The molecule is a natural product found in Psidium guajava, Juglans nigra, and other organisms with data available.The molecule is an aromatic hydrocarbon composed of a benzene ring linked to an ethyl group. Ethylbenzene is a constituent of petroleum and coal tar and is used as either a petroleum additive or a chemical intermediate in the production of polystyrene. High level exposure to airborne ethylbenzene is associated with eye and throat irritation.The molecule is an organic compound with the formula C6H5CH2CH3. This aromatic hydrocarbon is important in the petrochemical industry as an intermediate in the production of styrene, which in turn is used for making polystyrene, a commonly used plastic material. Although often present in small amounts in crude oil, ethylbenzene is produced in bulk quantities by combining benzene and ethylene in an acid-catalyzed chemical reaction. It is one ingredient of cigarette. The acute toxicity of ethylbenzene is low, with an LD50 of about 4 grams per kilogram of body weight. The longer term toxicity and carcinogenicity is ambiguous. Eye and throat sensitivity can occur when high level exposure to ethylbenzene in the air occurs. At higher level exposure, ethylbenzene can cause dizziness."
C(CC#N)CC#N,The molecule is a chemical compound of cyanide.
CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],The molecule is a C-nitro compound.
CCC#N,"Propionitrile appears as a colorless liquid with an ether-like odor. Density 0.683 g / cm3. Flash point 61 °F. Toxic by inhalation, skin absorption, and ingestion. Vapors are heavier than air. Used as a solvent, and to make other chemicals.The molecule is a nitrile that is acrylonitrile in which the carbon-carbon double bond has been reduced to a single bond. It has a role as a polar aprotic solvent. It is a volatile organic compound and an aliphatic nitrile.The molecule is a natural product found in Apis with data available.The molecule is a chemical compound of cyanide."
c1cc(ccc1O)F,The molecule is a fluorophenol that is phenol in which the hydrogen para- to the hydroxy group has been replaced by a fluorine. It is a fluorophenol and a member of monofluorobenzenes.
CCC(=O)C,"The molecule is a manufactured chemical but it is also present in the environment from natural sources. It is a colorless liquid with a sharp, sweet odor. It is also known as methyl ethyl ketone (MEK). 2-Butanone is produced in large quantities. Nearly half of its use is in paints and other coatings because it will quickly evaporate into the air and it dissolves many substances. It is also used in glues and as a cleaning agent. 2-Butanone occurs as a natural product. It is made by some trees and found in some fruits and vegetables in small amounts. It is also released to the air from car and truck exhausts.Methyl ethyl ketone appears as colorless fairly volatile liquid with a pleasant pungent odor. Flash point 20 °F. Vapors heavier than air. Does not react with water or many common materials. Stable in normal transportation. Irritates the nose, eyes, and throat. Combustion may produce toxic materials. Density 6.7 lb / gal. Used as a solvent, for making other chemicals, and for production of wax from petroleum.The molecule is a dialkyl ketone that is a four-carbon ketone carrying a single keto- group at position C-2. It has a role as a polar aprotic solvent and a bacterial metabolite. It is a dialkyl ketone, a methyl ketone, a volatile organic compound and a butanone.The molecule is used as a solvent. Acute (short-term) inhalation exposure to methyl ethyl ketone in humans results in irritation to the eyes, nose, and throat. Limited information is available on the chronic (long-term) effects of methyl ethyl ketone in humans. Chronic inhalation studies in animals have reported slight neurological, liver, kidney, and respiratory effects. No information is available on the developmental, reproductive, or carcinogenic effects of methyl ethyl ketone in humans. Developmental effects, including decreased fetal weight and fetal malformations, have been reported in mice and rats exposed to methyl ethyl ketone via inhalation and ingestion. EPA has classified methyl ethyl ketone as a Group D, not classifiable as to human carcinogenicity.The molecule is made by some trees and found in some fruits and vegetables in small amounts. It is also released to the air from car and truck exhausts. The known health effects to people from exposure to butanone are irritation of the nose, throat, skin, and eyes. (wikipedia)."
CC(C)N,Isopropylamine appears as a clear colorless liquid with an ammonia-like odor. Flash point -35 °F. Boiling point 90 °F. Less dense than water Vapors heavier than air. Produces toxic oxides of nitrogen during combustion. Used as a solvent and to make other chemicals.The molecule is a member of the class of alkylamines that is propane carrying an amino group at position 2. It is a member of alkylamines and a primary aliphatic amine. It is a conjugate base of an isopropylaminium.
C1(=CC(=CC(=C1N(CC)CCCC)[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"The molecule is a yellow-orange solid. Herbicide.The molecule is a tertiany amino compound that is 2,6-dinitro-4-(trifluoromethyl)aniline in which the hydrogens attached to the aniline nitrogen have been replaced by one ethyl and one butyl group. It is used as a pre-emergence herbicide used for the control of grass and other weeds in a range of food and non-food crops. It has a role as a herbicide and an agrochemical. It is a tertiary amino compound, a C-nitro compound, an organofluorine compound and a substituted aniline.The molecule is an herbicide of the dinitroaniline class. It is used to control grasses and other weeds. Annual use in the United States was approximately 700,000 pounds in 2004."
CC(=O)OCC1=CC=CC=C1,"The molecule is a colorless liquid with an odor of pears. (USCG, 1999)The molecule is the acetate ester of benzyl alcohol. It has a role as a metabolite. It is an acetate ester and a benzyl ester.The molecule is a natural product found in Vitis rotundifolia, Tanacetum parthenium, and other organisms with data available.The molecule is found in alcoholic beverages. Benzyl acetate occurs in jasmine, apple, cherry, guava fruit and peel, wine grape, white wine, tea, plum, cooked rice, Bourbon vanilla, naranjila fruit (Solanum quitoense), Chinese cabbage and quince. Benzyl acetate is a flavouring agent Benzyl acetate is an organic compound with the molecular formula C9H10O2. It is the ester formed by condensation of benzyl alcohol and acetic acid. It is one of many compounds that is attractive to males of various species of orchid bees, who apparently gather the chemical to synthesize pheromones; it is commonly used as bait to attract and collect these bees for study.Benzyl acetate belongs to the family of Benzyloxycarbonyls. These are organic compounds containing a carbonyl group substituted with a benzyloxyl group."
C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,"P,p'-dde appears as white crystalline solid or white powder. (NTP, 1992)The molecule is a chlorophenylethylene that is ethylene substituted by two 4-chlorophenyl groups at position 1 and two chlorine atoms at position 2. It has a role as a persistent organic pollutant and a human xenobiotic metabolite. It is a member of monochlorobenzenes and a chlorophenylethylene.The molecule is a breakdown product of DDT, which was used in the past as an insecticide. No information is available on the acute (short-term) or chronic (long-term) effects of DDE. Acute, oral exposure to high doses of DDT in humans results in central nervous system (CNS) effects, such as headaches, nausea, and convulsions. The only effect noted in epidemiologic studies of workers exposed to DDT and other pesticides was an increase in activity of liver enzymes. Animal studies have reported effects on the liver, immune system, and CNS from chronic oral exposure to DDT. Human studies are inconclusive regarding DDE and cancer. Animal studies have reported an increased incidence of liver tumors in mice and hamsters, and thyroid tumors in female rats from oral exposure to DDE. EPA has classified DDE as a Group B2, probable human carcinogen.The molecule is a natural product found in Euglena gracilis with data available.The molecule is an isomer of dichlorodiphenyldichloroethylene, an organochlorine insecticide. It is one of the components of commercial mixtures of DDT. DDT was once a widely used pesticide, but today its agricultural use has been banned worldwide due to its toxicity and tendency to bioaccumulate. However, it still has limited use in disease vector control. (L84)The molecule is the ethylene metabolite of DDT."
